Sinif Adi                                    Vtable VA    Slots
CUIChrSealTrans                              0x010244A4   52
CUIClan                                      0x0103FDE0   52
CUIClanBBS                                   0x01024738   52
CUIClanBreak                                 0x01024860   52
CUIClanJoinList                              0x010249E4   52
CUIClanLadderPointList                       0x01024E98   52
CUIClanMessage                               0x01024B88   52
CUIClanPoint                                 0x01024C9C   52
CUIClanPointListOrSave                       0x01024D7C   52
CUIClanPointSaveList                         0x01024F6C   52
CUIClanWindow                                0x01025414   52
CUIClassChange                               0x0102553C   52
CUICloakPalette                              0x01025650   52
CUIClock                                     0x01025724   52
CUICmd                                       0x01025884   52
CUICmdEdit                                   0x0102597C   52
CUICmdList                                   0x01025E2C   52
CUICombinateItem                             0x01026080   52
CUICombinationMethod                         0x01026200   52
CUICombineButton                             0x01025FAC   52
CUICommanderCenterAlarm                      0x010263D4   52
CUICommanderHotKey                           0x01026770   67
CUICommanderSkill                            0x010268D0   52
CUIConsentForm                               0x01026AC8   53
CUIConversation                              0x01026C64   52
CUICospreReview                              0x01026D98   52
CUICreateClanName                            0x01026E98   52
CUIDailyOverallRank                          0x01027034   52
CUIDayPrice                                  0x01027250   52
CUIDead                                      0x01027348   52
CUIDestoryItemIntro                          0x0100DCB0   67
CUIDisguise                                  0x01027438   52
CUIDisplayWarning                            0x01027514   52
CUIDostortionsMoradon                        0x010275FC   52
CUIDropOff                                   0x010276F0   52
CUIDroppedItemDlg                            0x0102790C   67
CUIDuelCreate                                0x01027A3C   52
CUIDuelEditMsg                               0x01027B10   54
CUIDuelInventory                             0x01027BEC   52
CUIDuelItemCount                             0x01027CC8   52
CUIDuelList                                  0x01027E2C   52
CUIDuelLobby                                 0x01028090   52
CUIDuelMessageBox                            0x01028164   52
CUIDurabilityCheck                           0x01028278   52
CUIEmoticon                                  0x0100D0B8   52
CUIEndingDisplay                             0x01028360   52
CUIEventBoard                                0x01028434   52
CUIEventCoin                                 0x010285C8   53
CUIEventCoinState                            0x010286B8   53
CUIEventContent                              0x010287A0   52
CUIEventJigSawPuzzle                         0x01028970   53
CUIEventManager                              0x01028D60   52
CUIEventNotice                               0x01028E64   52
